99980 Enzymes with EC numbers
K00046 idnO; gluconate 5-dehydrogenase [EC:1.1.1.69]
K25920 E2.5.1.155; phosphoglycerol geranylfarnesyltransferase [EC:2.5.1.155]
K25921 E2.5.1.156; geranylfarnesylglycerol-phosphate geranylfarnesyltransferase [EC:2.5.1.156]
K00810 UBIAD1; menadiol prenyltransferase [EC:2.5.1.-]
K11210 fosB; metallothiol transferase [EC:2.5.1.-]
K22119 GLIG, ACLG; gliotoxin/aspirochlorine biosynthesis glutathione S-transferase [EC:2.5.1.-]
K27270 pduO; corrinoid adenosyltransferase [EC:2.5.1.-]
K07557 tgtA2, arcS; archaeosine synthase alpha-subunit [EC:2.6.1.97 2.6.1.-]
K21585 kat; 3-aminobutanoyl-CoA transaminase [EC:2.6.1.111]
K23397 cpkG; 5-hydroxydodecatetraenal 1-aminotransferase [EC:2.6.1.115]
K20084 gnnB; UDP-N-acetyl-3-dehydro-alpha-D-glucosamine 3-aminotranferase [EC:2.6.1.122]
K00843 SWNA; swainsonine biosynthesis aminotransferase SwnA [EC:2.6.1.-]
K06936 raSEA; archaeosine synthase beta-subunit [EC:2.6.1.-]
K19430 epsN; pyridoxal phosphate-dependent aminotransferase EpsN [EC:2.6.1.-]
K22121 GLII, ACLI; gliotoxin/aspirochlorine biosynthesis aminotransferase [EC:2.6.1.-]
K19583 GK5; putative glycerol kinase 5 [EC:2.7.1.30]
K18673 bglK; beta-glucoside kinase [EC:2.7.1.85]
K19386 POS5; NADH kinase [EC:2.7.1.86]
K13059 nahK, lnpB; N-acetylhexosamine 1-kinase [EC:2.7.1.162]
K15522 FN3K; protein-fructosamine 3-kinase [EC:2.7.1.171]
K15523 FN3KRP; protein-ribulosamine 3-kinase [EC:2.7.1.172]
K03734 apbE; FAD:protein FMN transferase [EC:2.7.1.180]
K18678 VTE5; phytol kinase [EC:2.7.1.182]
K18478 yihV; sulfofructose kinase [EC:2.7.1.184]
K20901 lerK; L-erythrulose 1-kinase [EC:2.7.1.209]
K20902 derK; D-erythrulose 4-kinase [EC:2.7.1.210]
K00862 eryA; erythritol kinase (D-erythritol 1-phosphate-forming) [EC:2.7.1.215]
K21948 otnK; 3-dehydrotetronate 4-kinase [EC:2.7.1.217]
K10710 frlD; fructoselysine 6-kinase [EC:2.7.1.218]
K22129 dtnK, denK; D-threonate/D-erythronate kinase [EC:2.7.1.219 2.7.1.220]
K23147 E2.7.1.223; aminoimidazole riboside kinase [EC:2.7.1.223]
K23148 E2.7.1.224; cytidine diphosphoramidate kinase [EC:2.7.1.224]
K22723 AUR1; inositol phosphorylceramide synthase catalytic subunit [EC:2.7.1.227]
K22725 IPT1; mannosyl-inositol-phosphoceramide inositolphosphotransferase [EC:2.7.1.228]
K23983 amiN; amicoumacin kinase [EC:2.7.1.230]
K23247 oiaK; 3-oxoisoapionate kinase [EC:2.7.1.231]
K25043 LGK; levoglucosan kinase [EC:2.7.1.232]
K25231 aplK; apulose kinase [EC:2.7.1.233]
K25602 tagK; D-tagatose-1-phosphate kinase [EC:2.7.1.234]
K25765 avrRxo1; NAD+ 3'-kinase [EC:2.7.1.236]
K00924 E2.7.1.-; kinase [EC:2.7.1.-]
K05715 2PGK; 2-phosphoglycerate kinase [EC:2.7.2.16]
K07030 fakA; fatty acid kinase [EC:2.7.2.18]
K22424 E2.7.3.13; glutamine kinase [EC:2.7.3.13]
K20115 RP; [pyruvate, phosphate dikinase]-phosphate phosphotransferase / [pyruvate, phosphate dikinase] kinase [EC:2.7.4.27 2.7.11.32]
K09773 ppsR; [pyruvate, water dikinase]-phosphate phosphotransferase / [pyruvate, water dikinase] kinase [EC:2.7.4.28 2.7.11.33]
K23753 ppk2, pap; AMP-polyphosphate phosphotransferase [EC:2.7.4.33]
K02334 dpo; DNA polymerase bacteriophage-type [EC:2.7.7.7]
K00982 glnE; [glutamine synthetase] adenylyltransferase / [glutamine synthetase]-adenylyl-L-tyrosine phosphorylase [EC:2.7.7.42 2.7.7.89]
K00986 ltrA; RNA-directed DNA polymerase [EC:2.7.7.49]
K13291 TUT; terminal uridylyltransferase [EC:2.7.7.52]
K13069 E2.7.7.65; diguanylate cyclase [EC:2.7.7.65]
K18967 dge1; diguanylate cyclase [EC:2.7.7.65]
K13934 mdcG; phosphoribosyl-dephospho-CoA transferase [EC:2.7.7.66]
K15630 VTC2; GDP-D-glucose phosphorylase [EC:2.7.7.78]
K07067 disA; diadenylate cyclase [EC:2.7.7.85]
K18672 dacA; diadenylate cyclase [EC:2.7.7.85]
K21284 acmA, sibE; 3-hydroxy-4-methylanthranilate adenylyltransferase [EC:2.7.7.97]
K22837 ubaA; SAMP-activating enzyme [EC:2.7.7.100]
K01009 E2.7.7.103; L-glutamine-phosphate cytidylyltransferase [EC:2.7.7.103]
K08997 SELENOO, selO; protein adenylyltransferase [EC:2.7.7.108]
K26088 vopS; protein adenylyltransferase VopS [EC:2.7.7.108]
K11442 K11442; putative uridylyltransferase [EC:2.7.7.-]
K23092 MAB21L1; putative nucleotidyltransferase [EC:2.7.7.-]
K25555 dncV; cyclic GMP-AMP synthase [EC:2.7.7.-]
K01002 mdoB; phosphoglycerol transferase [EC:2.7.8.20]
K15915 pglC; undecaprenyl phosphate N,N'-diacetylbacillosamine 1-phosphate transferase [EC:2.7.8.36]
K17884 E2.7.8.39; archaetidylinositol phosphate synthase [EC:2.7.8.39]
K08244 R1; alpha-glucan, water dikinase [EC:2.7.9.4]
K15535 PWD; phosphoglucan, water dikinase [EC:2.7.9.5]
K22579 rph; rifampicin phosphotransferase [EC:2.7.9.6]
K08252 E2.7.10.1; receptor protein-tyrosine kinase [EC:2.7.10.1]
K08253 E2.7.10.2; non-specific protein-tyrosine kinase [EC:2.7.10.2]
K06379 spoIIAB; stage II sporulation protein AB (anti-sigma F factor) [EC:2.7.11.1]
K08282 E2.7.11.1; non-specific serine/threonine protein kinase [EC:2.7.11.1]
K00906 aceK; isocitrate dehydrogenase kinase/phosphatase [EC:2.7.11.5 3.1.3.-]
K08240 E2.7.11.7; myosin-heavy-chain kinase [EC:2.7.11.7]
K05960 E2.7.11.26; tau-protein kinase [EC:2.7.11.26]
K06023 hprK, ptsK; HPr kinase/phosphorylase [EC:2.7.11.- 2.7.4.-]
K08286 E2.7.11.-; protein-serine/threonine kinase [EC:2.7.11.-]
K08287 E2.7.12.1; dual-specificity kinase [EC:2.7.12.1]
K10819 E2.7.13.3; histidine kinase [EC:2.7.13.3]
K19405 mcsB; protein arginine kinase [EC:2.7.14.1]
K01013 TSTD1; thiosulfate:glutathione sulfurtransferase [EC:2.8.1.-]
K16949 SULT3A; amine sulfotransferase [EC:2.8.2.3]
K01021 TPST; protein-tyrosine sulfotransferase [EC:2.8.2.20]
K22218 TPST; protein-tyrosine sulfotransferase [EC:2.8.2.20]
K01023 assT; arylsulfate sulfotransferase [EC:2.8.2.22]
K21015 staL; desulfo-A47934 sulfotransferase [EC:2.8.2.36]
K21014 stf0; trehalose 2-sulfotransferase [EC:2.8.2.37]
K22312 ST2A, SOT15; hydroxyjasmonate sulfotransferase [EC:2.8.2.39]
K22905 stf3; omega-hydroxy-beta-dihydromenaquinone-9 sulfotransferase [EC:2.8.2.40]
K01025 SULT1; sulfotransferase [EC:2.8.2.-]
K11823 SULT4A1; sulfotransferase 4A1 [EC:2.8.2.-]
K22523 SULT6B1; sulfotransferase 6B1 [EC:2.8.2.-]
K18703 SUGCT; succinate---hydroxymethylglutarate CoA-transferase [EC:2.8.3.13]
K07749 frc; formyl-CoA transferase [EC:2.8.3.16]
K18702 uctC; CoA:oxalate CoA-transferase [EC:2.8.3.19]
K18313 sct; succinyl-CoA---D-citramalate CoA-transferase [EC:2.8.3.20]
K08298 caiB; L-carnitine CoA-transferase [EC:2.8.3.21]
K20882 hadA; (R)-2-hydroxy-4-methylpentanoate CoA-transferase [EC:2.8.3.24]
K25761 iaaL; phenylsuccinyl-CoA transferase [EC:2.8.3.28]
K18701 arsC; arsenate-mycothiol transferase [EC:2.8.4.2]
K19426 epsI; pyruvyl transferase EpsI [EC:2.-.-.-]
K19428 epsL; sugar transferase EpsL [EC:2.-.-.-]
K19431 epsO; pyruvyl transferase EpsO [EC:2.-.-.-]
K03928 yvaK; carboxylesterase [EC:3.1.1.1]
K15743 CES3_5; carboxylesterase 3/5 [EC:3.1.1.1]
K24085 estD; esterase [EC:3.1.1.1]
K13278 ASPG; 60kDa lysophospholipase [EC:3.1.1.5 3.1.1.47 3.5.1.1]
K01050 BCHE; cholinesterase [EC:3.1.1.8]
K10759 E3.1.1.20; tannase [EC:3.1.1.20]
K05970 SIAE; sialate O-acetylesterase [EC:3.1.1.53]
K05972 AXE1; acetylxylan esterase [EC:3.1.1.72]
K09252 FAEB; feruloyl esterase [EC:3.1.1.73]
K21016 FAEA; feruloyl esterase [EC:3.1.1.73]
K08095 E3.1.1.74; cutinase [EC:3.1.1.74]
K22249 phaZ; poly(3-hydroxyoctanoate) depolymerase [EC:3.1.1.76]
K22250 phaZ; poly(3-hydroxyoctanoate) depolymerase [EC:3.1.1.76]
K01065 AOAH; acyloxyacyl hydrolase [EC:3.1.1.77]
K21017 cocE; cocaine esterase [EC:3.1.1.84]
K15530 RGAE; rhamnogalacturonan acetylesterase [EC:3.1.1.86]
K21018 fumD; fumonisin B1 esterase [EC:3.1.1.87]
K20992 pytH; pyrethroid hydrolase [EC:3.1.1.88]
K20993 estP; pyrethroid hydrolase [EC:3.1.1.88]
K20991 RPE65b; all-trans-retinyl ester 13-cis isomerohydrolase [EC:3.1.1.90]
K20759 naaC; 2-oxo-3-(5-oxofuran-2-ylidene)propanoate lactonase [EC:3.1.1.91]
K22580 fmtA; teichoic acid D-alanine hydrolase [EC:3.1.1.103]
K23149 E3.1.1.104; 5-phospho-D-xylono-1,4-lactonase [EC:3.1.1.104]
K23518 MACROD, ymdB; O-acetyl-ADP-ribose deacetylase [EC:3.1.1.106]
K23721 iroE; apo-salmochelin esterase [EC:3.1.1.107]
K07214 fes; iron(III)-enterobactin esterase [EC:3.1.1.108]
K23722 pfeE; iron(III)-enterobactin esterase [EC:3.1.1.108]
K23723 iroD; iron(III)-salmochelin esterase [EC:3.1.1.109]
K23978 IAH1; isoamyl acetate esterase [EC:3.1.1.112]
K23246 apnL; D-apionolactonase [EC:3.1.1.115]
K25010 GE; (4-O-methyl)-D-glucuronate---lignin esterase [EC:3.1.1.117]
K13619 DDHD1; phospholipase DDHD1 [EC:3.1.1.118]
K27193 mheI; carbendazim hydrolysing esterase [EC:3.1.1.122]
K01066 aes; acetyl esterase [EC:3.1.1.-]
K02352 drp35; lactonase [EC:3.1.1.-]
K03929 pnbA; para-nitrobenzyl esterase [EC:3.1.1.-]
K03930 estA; putative tributyrin esterase [EC:3.1.1.-]
K13357 SPO1; putative meiotic phospholipase SPO1 [EC:3.1.1.-]
K14350 AADACL2; arylacetamide deacetylase-like 2 [EC:3.1.1.-]
K14351 AADACL3_4; arylacetamide deacetylase-like 3/4 [EC:3.1.1.-]
K16814 PNPLA5; patatin-like phospholipase domain-containing protein 5 [EC:3.1.1.-]
K19311 lipV; lipase [EC:3.1.1.-]
K19404 LIPH_I; phosphatidic acid-selective phospholipase A1 [EC:3.1.1.-]
K19406 LIPM; lipase-like abhydrolase domain-containing protein 3 [EC:3.1.1.-]
K24210 LIPN; lipase member N [EC:3.1.1.-]
K24215 LIPK; lipase member K [EC:3.1.1.-]
K24216 LIPJ; lipase member J [EC:3.1.1.-]
K01073 E3.1.2.20; acyl-CoA hydrolase [EC:3.1.2.20]
K18700 flK; fluoroacetyl-CoA thioesterase [EC:3.1.2.29]
K07107 ybgC; acyl-CoA thioester hydrolase [EC:3.1.2.-]
K22713 pltG; thioesterase [EC:3.1.2.-]
K14395 ACP6; lysophosphatidic acid phosphatase type 6 [EC:3.1.3.2]
K19283 ACPP; prostatic acid phosphatase [EC:3.1.3.2 3.1.3.5]
K19284 ACPT; testicular acid phosphatase [EC:3.1.3.2]
K15781 serB-plsC; putative phosphoserine phosphatase / 1-acylglycerol-3-phosphate O-acyltransferase [EC:3.1.3.3 2.3.1.51]
K01090 E3.1.3.16; protein phosphatase [EC:3.1.3.16]
K06382 spoIIE; stage II sporulation protein E [EC:3.1.3.16]
K07313 pphA; serine/threonine protein phosphatase 1 [EC:3.1.3.16]
K07314 pphB; serine/threonine protein phosphatase 2 [EC:3.1.3.16]
K02101 araL; sugar-phosphatase [EC:3.1.3.23]
K07757 ybiV; sugar-phosphatase [EC:3.1.3.23]
K22315 SHB17; sedoheptulose-bisphosphatase [EC:3.1.3.37]
K01104 E3.1.3.48; protein-tyrosine phosphatase [EC:3.1.3.48]
K22200 E3.1.3.63; 2-carboxy-D-arabinitol-1-phosphatase [EC:3.1.3.63]
K01111 E3.1.3.68; 2-deoxyglucose-6-phosphatase [EC:3.1.3.68]
K05978 stpA; glucosylglycerol 3-phosphatase [EC:3.1.3.69]
K13086 mfppA; mannosylfructose-6-phosphate phosphatase [EC:3.1.3.79]
K15529 POA1; ADP-ribose 1''-phosphate phosphatase [EC:3.1.3.84]
K23530 hps; hydropyrene/hydropyrenol/isoelisabethatriene synthase [EC:4.2.3.201 4.2.3.202 4.2.3.203]
K23873 sodD; sodorifen synthase [EC:4.2.3.205]
K26350 ERIG; (-)-cyatha-3,12-diene synthase [EC:4.2.3.206]
K26351 sapTC1; neoverrucosan-5beta-ol synthase [EC:4.2.3.207]
K26352 chlTC2; verrucosan-2beta-ol synthase [EC:4.2.3.208]
K26353 cysTC2; (R)-axinyssene synthase [EC:4.2.3.209]
K26354 stlTC; lydicene synthase [EC:4.2.3.210]
K27202 CS; (+)-delta-cadinol synthase [EC:4.2.3.212]
K27203 DS; dolasta-1(15),8-diene / delta-araneosene synthase [EC:4.2.3.214 4.2.3.215]
K27204 stsC; somaliensene A/B synthase [EC:4.2.3.216 4.2.3.217]
K27205 VS; variediene synthase [EC:4.2.3.218]
K06037 THNSL2; O-phospho-L-threonine phospho-lyase [EC:4.2.3.-]
K01741 E4.2.99.18; DNA-(apurinic or apyrimidinic site) lyase [EC:4.2.99.18]
K20506 TCEA; tuliposide A-converting enzyme [EC:4.2.99.22]
K20507 TCEB; tuliposide B-converting enzyme [EC:4.2.99.23]
K01751 E4.3.1.15; diaminopropionate ammonia-lyase [EC:4.3.1.15]
K22589 thadh; threo-3-hydroxy-L-aspartate ammonia-lyase [EC:4.3.1.16]
K20757 dthadh; threo-3-hydroxy-D-aspartate ammonia-lyase [EC:4.3.1.27]
K20500 rapL; L-lysine cyclodeaminase [EC:4.3.1.28]
K26913 pbfA; (R)-1-hydroxy-2-aminoethylphosphonate ammonia-lyase [EC:4.3.1.33]
K18200 PAL; peptidylamidoglycolate lyase [EC:4.3.2.5]
K26055 scoD, mmaD; (3R)-3-[(carboxylmethyl)amino]fatty acid synthase [EC:4.3.2.11]
K22120 GLIK, ACLK; gliotoxin/aspirochlorine biosynthesis gamma-glutamylcyclotransferase [EC:4.3.2.-]
K08079 K08079; mimosinase [EC:4.3.3.8]
K26364 K26364; mimosinase [EC:4.3.3.8]
K20038 cutC; choline trimethylamine-lyase [EC:4.3.99.4]
K21106 isoI; isoprene-epoxide---glutathione S-transferase [EC:4.4.1.34]
K06864 larE; pyridinium-3,5-biscarboxylic acid mononucleotide sulfurtransferase [EC:4.4.1.37]
K25264 hpsG; (2S)-3-sulfopropanediol sulfolyase [EC:4.4.1.41]
K26365 cangL; canavanine-gamma-lyase [EC:4.4.1.43]
K01766 csdA; cysteine sulfinate desulfinase [EC:4.4.1.-]
K06038 E4.6.1.14; glycosylphosphatidylinositol diacylglycerol-lyase [EC:4.6.1.14]
K01171 sar; rRNA endonuclease [EC:4.6.1.23]
K25585 ktzT; L-piperazate synthase [EC:4.8.1.1]
K13028 oxdA; aliphatic aldoxime dehydratase [EC:4.8.1.2]
K26380 NSP; thiohydroximate-O-sulfate sulfate/sulfur-lyase (nitrile-forming) [EC:4.8.1.5]
K26381 ESP; N-(sulfonatooxy)alkenimidothioic acid sulfate-lyase (epithionitrile-forming) [EC:4.8.1.6]
K26382 TFP; phenyl-N-(sulfonatooxy)methanimidothioate sulfolyase [EC:4.8.1.7]
K26383 TFP; N-(sulfonatooxy)prop-2-enimidothioate sulfolyase [EC:4.8.1.8]
K00221 E4.99.1.2; alkylmercury lyase [EC:4.99.1.2]
K17949 HDP; heme ligase [EC:4.99.1.8]
K09121 larC; pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel chelatase [EC:4.99.1.12]
K20707 E5.1.1.5; lysine racemase [EC:5.1.1.5]
K20708 E5.1.1.21; isoleucine 2-epimerase [EC:5.1.1.21]
K21617 hpbD; 4-hydroxyproline betaine 2-epimerase [EC:5.1.1.22]
K16213 cbe, mbe; cellobiose epimerase [EC:5.1.3.11]
K17948 nanM; N-acetylneuraminate epimerase [EC:5.1.3.24]
K02431 fucU, FUOM; L-fucose mutarotase [EC:5.1.3.29]
K18910 dpe, lre; D-psicose/D-tagatose/L-ribulose 3-epimerase [EC:5.1.3.30 5.1.3.31]
K03534 rhaM; L-rhamnose mutarotase [EC:5.1.3.32]
K21909 eryC; D-erythrulose 1-phosphate 3-epimerase [EC:5.1.3.38]
K10709 frlC; fructoselysine 3-epimerase [EC:5.1.3.41]
K24671 mne; mannose 2-epimerase [EC:5.1.3.44]
K14587 sgcE; protein sgcE [EC:5.1.3.-]
K17759 NAXE, nnrE; NAD(P)H-hydrate epimerase [EC:5.1.99.6]
K01802 E5.2.1.8; peptidylprolyl isomerase [EC:5.2.1.8]
K02467 gutQ; arabinose 5-phosphate isomerase [EC:5.3.1.13]
K18479 yihS; sulfoquinovose isomerase [EC:5.3.1.31]
K21910 eryH, lerI; L-erythrulose 1-phosphate isomerase [EC:5.3.1.33]
K21911 eryI; D-erythrulose 4-phosphate isomerase [EC:5.3.1.34]
K22131 otnI; 2-dehydrotetronate isomerase [EC:5.3.1.35]
K24672 apsI; D-apiose isomerase [EC:5.3.1.36]
K20706 PFI; polyenoic fatty acid isomerase [EC:5.3.3.13]
K25586 LFS; lachrymatory-factor synthase [EC:5.3.99.12]
K19814 eam; glutamate 2,3-aminomutase [EC:5.4.3.9]
K20709 PAM; phenylalanine aminomutase (L-beta-phenylalanine forming) [EC:5.4.3.10]
K22963 lis; linalool isomerase [EC:5.4.4.8]
K11942 icmF; isobutyryl-CoA mutase [EC:5.4.99.13]
K25820 icmA; isobutyryl-CoA mutase large subunit [EC:5.4.99.13]
K25821 icmB; isobutyryl-CoA mutase small subunit [EC:5.4.99.13]
K21940 SHS; shionone synthase [EC:5.4.99.46]
K21941 GLS; glutinol synthase [EC:5.4.99.49]
K21942 FRS; friedelin synthase [EC:5.4.99.50]
K21943 BOS; baccharis oxide synthase [EC:5.4.99.51]
K20906 hcmA; 2-hydroxyisobutanoyl-CoA mutase large subunit [EC:5.4.99.64]
K20907 hcmB; 2-hydroxyisobutanoyl-CoA mutase small subunit [EC:5.4.99.64]
K22964 LCC; pre-alpha-onocerin synthase [EC:5.4.99.65]
K22965 LCD; alpha-onocerin synthase [EC:5.4.99.66]
K23874 cmlD, papB; 4-amino-4-deoxychorismate mutase [EC:5.4.99.67]
K16208 LUP5; lupeol synthase 5 [EC:5.4.99.-]
K25822 pcmA; pivalyl-CoA mutase large subunit [EC:5.4.99.-]
K25823 pcmB; pivalyl-CoA mutase small subunit [EC:5.4.99.-]
K17811 K17811; halimadienyl-diphosphate synthase [EC:5.5.1.16]
K20549 aci; 3,6-anhydro-L-galactonate cycloisomerase [EC:5.5.1.25]
K22931 E5.5.1.29; (+)-kolavenyl diphosphate synthase [EC:5.5.1.29]
K03463 E5.5.1.30; labda-7,13-dienyl diphosphate synthase [EC:5.5.1.30]
K22971 K22971; hapalindole H/12-epi-hapalindole U/12-epi-fischerindole U synthase [EC:5.5.1.31 5.5.1.32 5.5.1.33]
K01861 NEPS3; (+)-cis,cis-nepetalactol synthase [EC:5.5.1.35]
K23876 hgdC, fldI, hadI, lcdC; (R)-2-hydroxyacyl-CoA dehydratese activating ATPase [EC:5.6.1.9]
K22319 oleC; olefin beta-lactone synthetase [EC:6.1.3.1]
K23108 BZO1; benzoate---CoA ligase [EC:6.2.1.25]
K12508 fcs; feruloyl-CoA synthase [EC:6.2.1.34]
K20415 madH; ACP-SH:acetate ligase [EC:6.2.1.35]
K18688 fadD19; 3-oxocholest-4-en-26-oate---CoA ligase [EC:6.2.1.42]
K21107 jamA; medium-chain-fatty-acid---[acyl-carrier-protein] ligase [EC:6.2.1.47]
K02182 caiC; carnitine-CoA ligase [EC:6.2.1.48]
K24408 sagA; salicylate---CoA ligase [EC:6.2.1.65]
K25254 ecm13; L-tryptophan---[L-tryptophyl-carrier protein] ligase [EC:6.2.1.73]
K25760 iaaB; indoleacetate---CoA ligase [EC:6.2.1.75]
K25775 casG; steroid-24-oyl-CoA synthetase [EC:6.2.1.-]
K25776 casI; steroid-22-oyl-CoA synthetase [EC:6.2.1.-]
K24409 ycaO; thioglycine synthase [EC:6.2.2.1]
K24411 patD, lynD; oxazoline/thiazoline synthase [EC:6.2.2.2 6.2.2.3]
K17810 asl; D-aspartate ligase [EC:6.3.1.12]
K15526 mshC; L-cysteine:1D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside ligase [EC:6.3.1.13]
K20419 atdA1; gamma-glutamylanilide synthase [EC:6.3.1.18]
K03397 E6.3.2.20; indoleacetate---lysine synthetase [EC:6.3.2.20]
K03802 cphA; cyanophycin synthetase [EC:6.3.2.29 6.3.2.30]
K23627 ASQK; cyclopeptine synthase [EC:6.3.2.40]
K02558 mpl; UDP-N-acetylmuramate: L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase [EC:6.3.2.45]
K22115 rizA; L-arginine-specific L-amino acid ligase [EC:6.3.2.48]
K22581 TAS1; tenuazonic acid synthetase [EC:6.3.2.50]
K01932 capB, pgsB; gamma-polyglutamate synthase [EC:6.3.2.-]
K22118 GLIP, ACLP; gliotoxin/aspirochlorine biosynthesis peptide synthetase [EC:6.3.2.-]
K23631 ASAC; aspergillic acid biosynthesis nonribosomal peptide synthetase [EC:6.3.2.-]
K01949 gmaS; glutamate---methylamine ligase [EC:6.3.4.12]
K10854 acxB; acetone carboxylase, alpha subunit [EC:6.4.1.6]
K10855 acxA; acetone carboxylase, beta subunit [EC:6.4.1.6]
K10856 acxC; acetone carboxylase, gamma subunit [EC:6.4.1.6]
K20140 cfiA; 2-oxoglutarate carboxylase large subunit [EC:6.4.1.7]
K20141 cfiB; 2-oxoglutarate carboxylase small subunit [EC:6.4.1.7]
K01970 accD2; acyl-CoA carboxylase subunit beta [EC:6.4.1.-]
K06306 sleL; cortical fragment-lytic enzyme [EC:3.2.1.-]
K12310 CTBS; Di-N-acetylchitobiase [EC:3.2.1.-]
K15524 mngB; 2-O-(6-phospho-alpha-D-mannosyl)-D-glycerate hydrolase [EC:3.2.1.-]
K16559 exoK; endo-1,3-1,4-beta-glycanase ExoK [EC:3.2.1.-]
K24727 MYORG; myogenesis-regulating glycosidase [EC:3.2.1.-]
K25543 GLB1L; beta-galactosidase-1-like protein [EC:3.2.1.-]
K01245 ADPRH; ADP-ribosylarginine hydrolase [EC:3.2.2.19]
K05521 draG; ADP-ribosyl-[dinitrogen reductase] hydrolase [EC:3.2.2.24]
K03653 K03653; N-glycosylase/DNA lyase [EC:3.2.2.- 4.2.99.18]
K09935 ybiA; N-glycosidase YbiA [EC:3.2.2.-]
K22522 LOG; cytokinin riboside 5'-monophosphate phosphoribohydrolase [EC:3.2.2.-]
K22928 DNPH1; 2'-deoxynucleoside 5'-phosphate N-hydrolase [EC:3.2.2.-]
K20837 dnhA_B; 2,4-dinitroanisole O-demethylase [EC:3.3.2.14]
K24697 mftE; mycofactocin precursor peptide peptidase [EC:3.4.14.14]
K01286 E3.4.16.4; D-alanyl-D-alanine carboxypeptidase [EC:3.4.16.4]
K23355 VASH; tubulinyl-Tyr carboxypeptidase [EC:3.4.17.17]
K22314 GGP; glucosinolate gamma-glutamyl hydrolase [EC:3.4.19.16]
K14745 ska; streptokinase A [EC:3.4.-.-]
K01447 xlyAB; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
K22409 sle1; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
K01459 E3.5.1.77; N-carbamoyl-D-amino-acid hydrolase [EC:3.5.1.77]
K06015 E3.5.1.81; N-acyl-D-amino-acid deacylase [EC:3.5.1.81]
K01461 E3.5.1.82; N-acyl-D-glutamate deacylase [EC:3.5.1.82]
K20817 E3.5.1.83; N-acyl-D-aspartate deacylase [EC:3.5.1.83]
K01462 PDF, def; peptide deformylase [EC:3.5.1.88]
K07047 nfdA; N-substituted formamide deformylase [EC:3.5.1.91]
K07116 pvdQ, quiP; acyl-homoserine-lactone acylase [EC:3.5.1.97]
K19176 FAAH2; fatty acid amide hydrolase 2 [EC:3.5.1.99]
K18540 ramA; (R)-amidase [EC:3.5.1.100]
K18457 laaA; L-proline amide hydrolase [EC:3.5.1.101]
K15525 mshB; N-acetyl-1-D-myo-inositol-2-amino-2-deoxy-alpha-D-glucopyranoside deacetylase [EC:3.5.1.103]
K22278 pgdA; peptidoglycan-N-acetylglucosamine deacetylase [EC:3.5.1.104]
K03478 chbG; chitin disaccharide deacetylase [EC:3.5.1.105]
K18454 deaA; chitin disaccharide deacetylase [EC:3.5.1.105]
K18458 ACY3; N-acyl-aromatic-L-amino acid amidohydrolase [EC:3.5.1.114]
K18455 mca; mycothiol S-conjugate amidase [EC:3.5.1.115]
K14662 NTAN1; protein N-terminal asparagine amidohydrolase [EC:3.5.1.121]
K21286 NTAQ1; protein N-terminal glutamine amidohydrolase [EC:3.5.1.122]
K21287 atdA2; gamma-glutamylanilide hydrolase [EC:3.5.1.123]
K11206 NIT1, ybeM; deaminated glutathione amidase [EC:3.5.1.128]
K23726 agaA; Nalpha-acyl-L-glutamine aminoacylase [EC:3.5.1.133]
K09900 E3.5.1.135; N4-acetylcytidine amidohydrolase [EC:3.5.1.135]
K22408 dac; N,N'-diacetylchitobiose non-reducing end deacetylase [EC:3.5.1.136]
K25604 E3.5.1.137; N-methylcarbamate hydrolase [EC:3.5.1.137]
K26817 lpa; lipoamidase [EC:3.5.1.138]
K01463 bshB1; N-acetylglucosamine malate deacetylase 1 [EC:3.5.1.-]
K01567 pdaA; peptidoglycan-N-acetylmuramic acid deacetylase [EC:3.5.1.-]
K14659 nodB; chitooligosaccharide deacetylase [EC:3.5.1.-]
K14663 NTA1; protein N-terminal amidase [EC:3.5.1.-]
K21478 icaB; poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase [EC:3.5.1.-]
K22135 bshB2; N-acetylglucosamine malate deacetylase 2 [EC:3.5.1.-]
K23465 tgnD; (E)-2-((N-methylformamido)methylene)succinate hydrolase [EC:3.5.1.-]
K24153 blaOXY; beta-lactamase class A OXY [EC:3.5.2.6]
K24159 blaLAP; beta-lactamase class A LAP [EC:3.5.2.6]
K24161 blaGOP; beta-lactamase class B GOB [EC:3.5.2.6]
K24162 blaBlaB; beta-lactamase class B BlaB [EC:3.5.2.6]
K20816 sttH; streptothricin hydrolase [EC:3.5.2.19]
K01475 E3.5.2.20; isatin hydrolase [EC:3.5.2.20]
K01481 E3.5.3.15; protein-arginine deiminase [EC:3.5.3.15]
K18459 gpuA; guanidinopropionase [EC:3.5.3.17]
K18456 E3.5.4.32; 8-oxoguanine deaminase [EC:3.5.4.32]
K21589 cadD; cAMP deaminase [EC:3.5.4.46]
K18772 APOBEC2; C->U-editing enzyme APOBEC2 [EC:3.5.4.-]
K18773 APOBEC4; C->U-editing enzyme APOBEC4 [EC:3.5.4.-]
